model,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final
cosco,SpokenArabicDigits,1,0.33788085493406095,2.1,19509,ok,,,,,,,
cosco_dynamic_rho,SpokenArabicDigits,1,0.34015461573442474,1.9,19509,ok,dynamic_rho_proto_geometry_alpha=0.25,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,SpokenArabicDigits,10,0.7548885857207822,2.3,20517,ok,,,,,,,
cosco_dynamic_rho,SpokenArabicDigits,10,0.7567075943610733,3.8,20517,ok,dynamic_rho_proto_geometry_alpha=0.25,0.10638321489095688,0.10944086003005506,0.11499999999999999,0.10638321489095688,0.4139753204584122,0.25532859563827515
cosco,RacketSports,1,0.5,2.9,9924,ok,,,,,,,
cosco_dynamic_rho,RacketSports,1,0.4934210526315789,3.3,9924,ok,dynamic_rho_proto_geometry_alpha=0.25,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,RacketSports,10,0.7960526315789473,3.4,10644,ok,,,,,,,
cosco_dynamic_rho,RacketSports,10,0.8092105263157895,3.4,10644,ok,dynamic_rho_proto_geometry_alpha=0.25,0.10425390675663948,0.10681469972208141,0.11499999999999999,0.10425390675663948,0.29208459332585335,0.17015627026557922
cosco,Heartbeat,1,0.7268292682926829,3.0,5845,ok,,,,,,,
cosco_dynamic_rho,Heartbeat,1,0.7268292682926829,3.0,5845,ok,dynamic_rho_proto_geometry_alpha=0.25,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,Heartbeat,10,0.6536585365853659,2.9,6421,ok,,,,,,,
cosco_dynamic_rho,Heartbeat,10,0.6536585365853659,3.2,6421,ok,dynamic_rho_proto_geometry_alpha=0.25,0.10780612230300904,0.11275282534658908,0.11499999999999999,0.10791900604963303,0.6428283774852752,0.31676024198532104
cosco,JapaneseVowels,1,0.6675675675675675,3.4,12844,ok,,,,,,,
cosco_dynamic_rho,JapaneseVowels,1,0.6675675675675675,4.3,12844,ok,dynamic_rho_proto_geometry_alpha=0.25,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,JapaneseVowels,10,0.9027027027027027,4.0,13660,ok,,,,,,,
cosco_dynamic_rho,JapaneseVowels,10,0.9,4.6,13660,ok,dynamic_rho_proto_geometry_alpha=0.25,0.10583036206662655,0.10729643378928305,0.11499999999999999,0.1058339685201645,0.2968294681608677,0.2333587408065796
cosco,Libras,1,0.4222222222222222,4.0,3019,ok,,,,,,,
cosco_dynamic_rho,Libras,1,0.4166666666666667,2.5,3019,ok,dynamic_rho_proto_geometry_alpha=0.25,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,Libras,10,0.8666666666666667,2.7,3451,ok,,,,,,,
cosco_dynamic_rho,Libras,10,0.8611111111111112,3.1,3451,ok,dynamic_rho_proto_geometry_alpha=0.25,0.10879850462079049,0.11254577087461946,0.11499999999999999,0.10879850462079049,0.5896923315525054,0.35194018483161926
